fire_year,fitted_smoke_estimate
1964,0.0
1965,0.07260168757928398
1966,0.006526934056189673
1967,0.022990800037488
1968,0.16472617021282043
1969,0.5759263927381535
1970,0.46432695176465044
1971,0.08611839699640972
1972,0.3934816613448173
1973,0.564585396866787
1974,0.32748148125233123
1975,0.4509835823860858
1976,0.5070998240032336
1977,0.27587579008360585
1978,0.4229658841989912
1979,0.4030342542147105
1980,0.4482721188699653
1981,0.6974076342097804
1982,0.39563796331381373
1983,0.12513694171916398
1984,0.22515274812964553
1985,0.5112002669482882
1986,0.9554784602349313
1987,1.342265336304086
1988,2.0775363932335233
1989,7.553526188637136
1990,12.05124851326446
1991,8.789378110666767
1992,6.688554063309748
1993,5.753967307515442
1994,9.160851889789699
1995,14.749035824501837
1996,11.024132779365273
1997,9.101840365887695
1998,10.630889603248503
1999,8.313992220002905
2000,8.514845000370311
2001,9.804259868563065
2002,11.81514425557731
2003,12.287154809448595
2004,13.729672513205994
2005,9.426654913098233
2006,10.614830311642683
2007,18.527291004476723
2008,18.854878625627265
2009,18.294628429964725
2010,27.96483169571978
2011,14.990043484868858
2012,16.796908660246153
2013,21.01129255981999
2014,8.134997459689803
2015,9.48377310390508
2016,12.042292960792413
2017,12.693517440062717
2018,17.341728773903508
2019,19.116662541208882
2020,12.84371817855256
2021,7.549188966879393
2022,8.168519608812275
2023,8.027840704309305
2024,8.327095987379527
2025,8.371693825285645
2026,8.56370101715728
2027,8.670379788245738
2028,8.826451214532007
2029,8.953931529379696
2030,9.097961909212138
2031,9.232412225968405
2032,9.37240799578652
2033,9.509193760679132
2034,9.647837648164584
2035,9.785405954879865
2036,9.923596865290735
2037,10.061427379372002
2038,10.1994665101308
2039,10.337384882395217
2040,10.475373156137012
2041,10.613320967163824
2042,10.751292200174909
2043,10.889249875288373
2044,11.027215398438356
2045,11.165176378724913
2046,11.303139988663874
2047,11.441102076419332
2048,11.57906504529604
2049,11.717027504132629
2050,11.854990258207728
